Altitude (h) [km],Density (rho) [kg/m3],Scale Height (H) [km],Temp. (T) [K],Pressure (P) [Pa],Mol. Wt. (M)
0,1.225E0,8.4,288,1.013E5,28.96
50,1.027E-3,6.4,271,7.978E1,28.96
100,5.604E-7,5.9,195,3.201E-2,28.40
150,2.076E-9,23.3,634,3.774E-4,24.10
200,2.789E-10,37.5,855,8.473E-5,21.30
250,7.248E-11,46.8,941,2.477E-5,19.39
300,2.418E-11,53.3,976,8.224E-6,18.00
350,9.158E-12,58.5,991,2.966E-6,17.00
400,3.725E-12,63.8,997,1.141E-6,16.22
450,1.585E-12,70.4,1000,4.597E-7,15.60
500,6.967E-13,78.2,1000,1.921E-7,15.07
